time,open,high,low,close,Plot,Plot.1,Plot.2,Plot.3,Volume,RelVolStDev,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Plot.4,CVO Histogram,CVO Line,Signal Line,Upper Dev,Lower Dev
2020-02-24 09:30:00-05:00,48.175,50.275,47.49,49.12,53.65279806576278,53.23040650707066,48.92249206776215,38.03424991697666,86624116,1.689335718446837,-8351044044,-8351044044,-8437668160,-8437668160,-8771737499.48,118722931.31780244,118722931.31780244,111993805.86006622,,
2020-02-25 09:30:00-05:00,51.14,51.24,47.12,47.57,52.30106516225994,52.421777006060566,48.86728830989431,38.12913300237988,88699382,1.7403493698647294,-8351044044,-8351044044,-8439743426,-8439743426,-8756858272.48,86972800.80010319,86972800.80010319,108419376.56578578,,
2020-02-26 09:30:00-05:00,47.7,49.29,47.07,47.49,51.23193957064662,51.7172374337662,48.811072460510864,38.22227595758008,86897680,1.6051328843024746,-8439743426,-8439743426,-8526641106,-8526641106,-8745464962.46,51355380.82192993,51355380.82192993,100267377.17380635,,
2020-02-27 09:30:00-05:00,45.38,46.24,42.21,44.01,49.62706411050292,50.616203514656746,48.615110319265526,38.27986525153451,106416222,2.489216967762743,-8526641106,-8526641106,-8633057328,-8633057328,-8734600268.66,11160016.719748495,11160016.719748495,87537754.25179811,,
2020-02-28 09:30:00-05:00,41.355,46.15,41.04,45.48,48.70549430816894,49.88246015542007,48.48714663276489,38.351508383360034,100667707,2.102847850972664,-8532389621,-8532389621,-8633057328,-8633057328,-8722900036.24,-4267410.85188961,-4267410.85188961,74422730.66555701,,
2020-03-02 09:30:00-05:00,47.42,47.68,44.66,47.46,48.428717795242505,49.536394418931486,48.44522228040714,38.44214014073954,102324726,2.091831093938143,-8430064895,-8430064895,-8532389621,-8532389621,-8710052020.78,-1652902.4711914062,-1652902.4711914062,63554783.07459296,,
2020-03-03 09:30:00-05:00,49.03,50.2,45.67,46.75,48.05566939629973,49.13833807336984,48.37602953426807,38.52480541297098,141972288,3.62084327560052,-8430064895,-8430064895,-8572037183,-8572037183,-8699259791.42,-18413693.9096632,-18413693.9096632,51845000.64827065,,
2020-03-04 09:30:00-05:00,48.25,50.14,47.2101,50.11,48.51218730823312,49.27714692003129,48.44680383899183,38.64008098100113,93311779,1.479871570901413,-8478725404,-8478725404,-8572037183,-8572037183,-8687520340.66,-17639702.857883453,-17639702.857883453,41918614.43310578,,
2020-03-05 09:30:00-05:00,48.68,49.72,47.51,48.11,48.422812350847984,49.11041164574111,48.43305674352277,38.73430903094141,98302748,1.6732158627670373,-8478725404,-8478725404,-8577028152,-8577028152,-8679111279.38,-29644520.48070717,-29644520.48070717,31695309.445418216,,
2020-03-06 09:30:00-05:00,49.44,49.54,46.74,48.59,48.459965161770654,49.03606712492096,48.43946259072592,38.83237560774796,124590861,2.6146128877794044,-8577028152,-8577028152,-8701619013,-8701619013,-8674315341.08,-21173480.07299328,-21173480.07299328,24142625.22850229,,
2020-03-09 09:30:00-04:00,43.03,46.34,42.51,43.27,47.306639570266064,48.212343249932246,48.22846411763507,38.876531074337535,80859774,0.8197881347425585,-8620759239,-8620759239,-8701619013,-8701619013,-8668790851.14,-25374058.591316223,-25374058.591316223,17068813.254242502,,
2020-03-10 09:30:00-04:00,45.41,45.44,43.1,45.38,46.87849744354028,47.80772278565621,48.11220027609895,38.941242207926216,76228247,0.6141575183450546,-8620759239,-8620759239,-8696987486,-8696987486,-8663636672.28,-17821787.562023163,-17821787.562023163,12084441.709061692,,
2020-03-11 09:30:00-04:00,44.19,45.97,43.8,45.7,46.61660912275355,47.50661953056247,48.01374312197246,39.00849352924038,102319010,1.6133699143801288,-8594668476,-8594668476,-8696987486,-8696987486,-8655703628.54,1314067.762971878,1314067.762971878,10545816.859620292,,
2020-03-12 09:30:00-04:00,42.0,42.5,39.0,39.01,44.92625153991943,46.29281674048212,47.64624340270828,39.00850851899919,107461521,1.7683767686886496,-8594668476,-8594668476,-8702129997,-8702129997,-8649095100.52,706814.8763427734,706814.8763427734,9140245.147723503,,
2020-03-13 09:30:00-04:00,42.2,43.91,39.6,43.9,44.698195642159554,45.9509857775561,47.493335508720186,39.05718007602407,86689681,0.9098660083537524,-8615440316,-8615440316,-8702129997,-8702129997,-8641388602.96,11646658.524658203,11646658.524658203,9498304.201571316,,
2020-03-16 09:30:00-04:00,39.08,43.37,38.51,38.71,43.36748549945743,44.916559237905226,47.13483201856834,39.05372554790443,84545868,0.8031492184800461,-8615440316,-8615440316,-8699986184,-8699986184,-8636988314.74,8044632.810848236,8044632.810848236,9290636.860039448,,
2020-03-17 09:30:00-04:00,40.19,42.88,38.3,41.88,43.036933166244665,44.48276506106162,46.920349079034935,39.08184768175612,92741881,1.0986721702328703,-8607244303,-8607244303,-8699986184,-8699986184,-8632200432.04,17513454.90591526,17513454.90591526,10465325.15230742,,
